2181,8032,Narsingh Narain Pandey,Gorakhpur,Uttar Pradesh
2183,8034,Sudhakar Pandey,Chandauli,Uttar Pradesh
2188,8060,Ram Bhagat Paswan,"Rosera, Rosera",Bihar
2217,7156,Vayalar Ravi,"Chirayinkil, Chirayinkil","Kerala, Kerala, Kerala, Kerala"
2255,9013,Rudra Pratap Singh,Barabanki,"Uttar Pradesh, Uttar Pradesh"
2257,8404,Shankar Dayal Singh,"Chatra, Dhanbad",Bihar
2259,8413,Vishwanath Pratap Singh,"Phulpur, Allahabad, Allahabad, Fatehpur, Fatehpur",Uttar Pradesh
2260,8421,Chandra Mohan Sinha,"Mayurbhanj, Mayurbhanj",Orissa
2287,8551,Ram Chandra Vikal,Baghpat,Uttar Pradesh
2302,7288,P. Anbalagan,Ramanathapuram,Tamil Nadu
2315,7337,Balbir Singh,Hoshiarpur,Punjab
2316,7338,Baldev Prakash,Amritsar,Uttar Pradesh
2321,8627,Chitta Basu,"Barasat, Barasat, Barasat, Barasat, Barasat","West Bengal, West Bengal"
2333,7431,Chand Ram,"Sirsa, Hardoi",Haryana
2341,8662,Nawab Singh Chauhan,Aligarh,"Uttar Pradesh, Uttar Pradesh"
2343,7451,Krishna Bahadur Chettri,Darjeeling,West Bengal
2372,7541,Eduardo Faleiro,"Mormugao, Mormugao, Mormugao, Mormugao, Mormugao",Goa
2392,8727,K.S. Hegde,Bangalore South,"Madras, Madras"
2411,8754,Bapu Kaldate,Aurangabad,"Maharashtra, Maharashtra"
2412,7695,P. Kannan,"Salem-Tiruchengode, Tiruchengode",Pondicherry
2424,8782,Mohsina Kidwai,"Azamgarh, Meerut, Meerut","Chhattisgarh, Chhattisgarh"
2431,8787,Krishan Kant,Chandigarh,"Haryana, Haryana"
2454,9157,Rasheed Masood,"Saharanpur, Saharanpur, Saharanpur, Saharanpur, Saharanpur","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
2456,7881,Jagdish Prasad Mathur,Sikar,Rajasthan
2460,7902,Govindram Miri,Sarangarh,Madhya Pradesh
2464,8318,V.A. Seyid Muhammad,Calicut,Kerala
2467,9168,Godey Murahari,Vijayawada,"Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
2476,8857,M.N. Govindan Nair,Trivandrum,"Kerala, Kerala"
2485,8023,T.A. Pai,Udipi,Karnataka
2499,8085,Udhavrao Sahebrao Patil,Latur,Maharashtra
2501,8089,Biju Patnaik,"Kendrapara, Kendrapara, Kendrapara, Aska",Orissa
2508,8900,Janardhana Poojary,"Mangalore, Mangalore, Mangalore, Mangalore","Karnataka, Karnataka"
2514,8131,B. Rachaiah,Chamrajanagar,Karnataka
2515,8906,Raghavji,"Vidisha, Vidisha","Madhya Pradesh, Madhya Pradesh"
2538,8175,Balwant Singh Ramoowalia,"Faridkot, Sangrur",Uttar Pradesh
2540,8181,Ranjit Singh,Hamirpur,Haryana
