2424,8782,Mohsina Kidwai,"Azamgarh, Meerut, Meerut","Chhattisgarh, Chhattisgarh",Yes
2431,8787,Krishan Kant,Chandigarh,"Haryana, Haryana",Yes
2454,9157,Rasheed Masood,"Saharanpur, Saharanpur, Saharanpur, Saharanpur, Saharanpur","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
2456,7881,Jagdish Prasad Mathur,Sikar,Rajasthan,Yes
2460,7902,Govindram Miri,Sarangarh,Madhya Pradesh,Yes
2464,8318,V.A. Seyid Muhammad,Calicut,Kerala,Yes
2467,9168,Godey Murahari,Vijayawada,"Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
2476,8857,M.N. Govindan Nair,Trivandrum,"Kerala, Kerala",Yes
2485,8023,T.A. Pai,Udipi,Karnataka,Yes
2499,8085,Udhavrao Sahebrao Patil,Latur,Maharashtra,Yes
2501,8089,Biju Patnaik,"Kendrapara, Kendrapara, Kendrapara, Aska",Orissa,Yes
2508,8900,Janardhana Poojary,"Mangalore, Mangalore, Mangalore, Mangalore","Karnataka, Karnataka",Yes
2514,8131,B. Rachaiah,Chamrajanagar,Karnataka,Yes
2515,8906,Raghavji,"Vidisha, Vidisha","Madhya Pradesh, Madhya Pradesh",Yes
2538,8175,Balwant Singh Ramoowalia,"Faridkot, Sangrur",Uttar Pradesh,Yes
2540,8181,Ranjit Singh,Hamirpur,Haryana,Yes
2562,8288,Sasankasekhar Sanyal,Jangipur,West Bengal,Yes
2575,8330,Shanti Devi,"Sambhal, Sambhal",Uttar Pradesh,Yes
2577,8336,Bhagwat Dayal Sharma,Karnal,Haryana,Yes
2586,8996,P. Shiv Shanker,"Secunderabad, Secunderabad, Tenali","Gujarat, Gujarat",Yes
2590,8616,Sikander Bakht,Chandni Chowk,"Madhya Pradesh, Madhya Pradesh",Yes
2614,7201,Subramanian Swamy,"Bombay North East, Bombay North East, Madurai","Bhadrak, Uttar Pradesh, Uttar Pradesh",Yes
2616,8471,Jagdev Singh Talwandi,Ludhiana,Punjab,Yes
2626,9273,Gurcharan Singh Tohra,Patiala,"Punjab, Punjab, Punjab, Punjab, Punjab",Yes
